Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,3,Gabriel (ARS),Gabriel (ARS),6
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,4,Truffert (BOU),Truffert (BOU),0
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,5,Virgil (LIV),Virgil (LIV),12
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,6,Szoboszlai (LIV),Szoboszlai (LIV),9
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,7,Saka (ARS),Saka (ARS),8
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,8,B.Fernandes (MUN),B.Fernandes (MUN),9
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,9,Abraham (AVL),Thiago (BRE),2
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,10,Kostoulas (BHA),Kostoulas (BHA),1
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,11,Haaland (MCI),Haaland (MCI),0
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава1,Rúben (MCI),Rúben (MCI),0
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава2,Thiago (BRE),Thiago (BRE),2
11,53,0x1f0da681303bdc616d438c0acc59b42c65007e6ae42712c1b130e2e44331a3e5,Лава3,Bruno G. (NEW),Bruno G. (NEW),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,1,Verbruggen (BHA),Verbruggen (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,2,Gabriel (ARS),Gabriel (ARS),6
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,3,O'Reilly (MCI),Digne (AVL),4
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,4,Van Hecke (BHA),Van Hecke (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,5,Lacroix (CRY),Lacroix (CRY),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,6,Saka (ARS),Saka (ARS),8
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,7,B.Fernandes (MUN),B.Fernandes (MUN),9
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,8,Cherki (MCI),Cherki (MCI),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,9,Haaland (MCI),Haaland (MCI),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,10,Welbeck (BHA),Welbeck (BHA),2
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,11,Watkins (AVL),Watkins (AVL),17
