address,toursEntered,eplTours,wcTours,bestRank,podiums,topTen,prizesWon,prizeMOVE,prizeUSDCx,unclaimedMOVE,unclaimedUSDCx,bracketPrediction
0x671cc67321d2263c14dabfe89a325305fabf4fa7ba75399bdc244901129728c0,1,1,0,48,0,0,0,0,0,0,0,
0x17d9c0bc3bf9ee1139b82c54f200aae897f702a50c795a0a2d60bf7a1cd1f5e0,1,1,0,48,0,0,0,0,0,0,0,
0xd38fc33916098866c4f18e6c80e75dd6b5af0d397acd063214bf3e78673ce25f,1,1,0,50,0,0,0,0,0,0,0,
0xa76011908551ef38768cdc9cc576346514fbbbfb2260aff42768467e68960ca1,1,1,0,50,0,0,0,0,0,0,0,
0x1f64da2f915a82a38afc3260625de06da75c261551c4b8977bf31e7926e6c09c,1,1,0,50,0,0,0,0,0,0,0,
0x4a277191799bab5e7d7e35b253d0d2d3545859f0ddc0718ee055193272706b9,1,1,0,51,0,0,0,0,0,0,0,
0xae9318e6458924edfd8ebc42d19ec3995ef63a116acf13683598e7692218a2e3,1,1,0,52,0,0,0,0,0,0,0,
0xe178a8827024b4621042fd8bb8d2c1e04082ea3071211559fdd51941b2c8da14,1,1,0,52,0,0,0,0,0,0,0,
0x228f1ee418ae868e20c7b02cfdca196af6b02fe2d93450adcdd17c2acb569be5,1,1,0,54,0,0,0,0,0,0,0,
0x203ddb81865128d0f77d60ea9ece8646555b1568ed625d902ad73e68e2a19a6a,1,1,0,56,0,0,0,0,0,0,0,
0x6b0b165f88864b661e40413bf3642e4edf4ddebf7cafc185785d6be296769739,1,1,0,56,0,0,0,0,0,0,0,
0x8265aacb015e8bfadd593ddeba5155f4705fae2474b9669899101af70e78cc9d,1,1,0,56,0,0,0,0,0,0,0,
0xd1d348be22dcc85b0d6e873dbb56a0d31a399c273f26c0407e88c308cca45526,1,1,0,56,0,0,0,0,0,0,0,
0x744b0af65210fe55421d8d7a0545d84804da04cf594d4cc213021ae377b5e6b1,1,1,0,56,0,0,0,0,0,0,0,
0x51c10b74f8f6848bfc09e93425aab16c76387568bc1fcac0fdacffcedef6fe29,1,1,0,56,0,0,0,0,0,0,0,
0xef101d9e63f103d16cab88ee6afe2752a41da01390ab1a05d284a8493840d065,1,1,0,57,0,0,0,0,0,0,0,
0xc023123f213588f8c380fb0330b4048805cd84c5ef8db4b7d6efca940797507f,1,1,0,58,0,0,0,0,0,0,0,
0xbb4ec3a31912dc58f9e7c37a0648e749b791b75e5dd4a97931f780f28303fff8,1,1,0,58,0,0,0,0,0,0,0,
0xa2fe20608caa9daf0fdc96ab1f46fce01673343d1a8403cb1fb72044b69d022a,1,1,0,58,0,0,0,0,0,0,0,
0x735fa3d08a95f5a99348e37b78e89d6f96f6a92ce56c053a3bd828d489aac78e,1,1,0,62,0,0,0,0,0,0,0,
0xd6782e51790420f3e0c091fe446e73f563e3645246a24c42192faf49a3a36481,1,1,0,63,0,0,0,0,0,0,0,
0x6479680839535643a54fd80e0aa151009e347e42ff3a9d018a23e033e4ad64b9,1,1,0,64,0,0,0,0,0,0,0,
0xf7dd9c6307a9cb91ef6e89e6f6af2b8d5a80fcca6c17f5b34a51a36a6cb2bcb4,1,1,0,65,0,0,0,0,0,0,0,
0x85a4f42dc40944293c9eb1fdc2f8d63095e808808076f5f526ddd5e52e22448f,1,1,0,65,0,0,0,0,0,0,0,
0x64ad6f369c2ba99a598baba6d1d08d9ef295a310566ec0a50edfd8828aa948e3,1,1,0,65,0,0,0,0,0,0,0,
0xd161521ea03fc648c954b090d3c651cd296030c049bc2316257707674491fe07,1,1,0,65,0,0,0,0,0,0,0,
0x8b78c8248d63ad0c4cbbbb0ac83cb409f9380ed9b8c6d805f0b90bb114c72bf4,1,1,0,67,0,0,0,0,0,0,0,
0x879df2de212341d23598da253df2d8fefb42940e0250992ccccbaf5efa2810ec,1,1,0,67,0,0,0,0,0,0,0,
0x71518dcd3d01503a95d114de2c243cd321e4a8dcfe01125dbb6c9358288aa984,1,1,0,68,0,0,0,0,0,0,0,
0x7e20c774623a652c5ab1bb44a82d6ded0812b072d338969ed8420ee1556da3a3,1,1,0,70,0,0,0,0,0,0,0,
0xd5e90424415b469daf5cb9ad7360b276b9754e44c90f2f8865e37b0a878c38c9,1,1,0,70,0,0,0,0,0,0,0,
0xc8be64d223356f491e4de846e7531cfd2c23ece47479e27a75704fe9003733f2,1,1,0,71,0,0,0,0,0,0,0,
0x608f3cb6f019dc21c26d3eb0ed9f370c2e0ef1c41245e9cd122dceed49455a83,1,1,0,71,0,0,0,0,0,0,0,
0xdc0e53f2ed2dcf18e31cfb6b812746716ac95ae307785145683324e5fa628392,1,1,0,71,0,0,0,0,0,0,0,
